Lugar,Descripción,,,,,,,,
Bahia de Matanchen,Turismo de sol y playa,Se localiza en el municipio de San Blas a 70.5 km de distancia de la ciudad de Tepic. La bahía tiene una extensión de 7 km con un ancho de 30 m de playa. La pequeña localidad se encuentra a una altitud de 3 m.s.n.m.4​ Cuenta con nueve centros de acopio de larvas de camarón cuya producción es vendida a las granjas establecidas en el puerto de San Blas.,,,,,,,
Playa Los Muertos,Turismo de sol y playa,En Puerto Vallarta,cerca del Río Cuale,a unos metros del malecón,se encuentra esta playa,con una extensión de 2 kilómetros de largo. Es una de las más visitadas de este puerto. Se extiende desde la Plaza Lázaro Cárdenas hasta el inicio de la playa Pilitas.,,,
Bucerias Art Walk,cultural|diversion,"Hogar de uno de los paseos artísticos más singulares de la zona. ""Llevando el arte a las calles"".",,,,,,,
Centro Historico de Tepic,cultural|religioso,La capital del Estado de Nayarit,es una ciudad colonial que se encuentra rodeada de majestuosas montañas que han sido testigos de numerosos acontecimientos históricos,posee riquezas naturales y está llena de cultura y tradiciones; es la cuna de hombres ilustres como el escritor Amado Nervo y el niño héroe Juan Francisco Escutia.,,,,,
Galerias Vallarta,diversion,En Galerías Vallarta contamos con todas las medidas de seguridad para tu bienestar. Hacemos todo lo indicado por las autoridades para que estés seguro en tu visita. Ambiente agradable. Excelente ubicación. Tus tiendas favoritas. Servicios: Liverpool,Boutiques,Cine.,,,,,
Isla de Coral,Turismo de sol y playa|ecoturismo,Localizada en el municipio de Compostela,Nayarit,en la conocida como Bahía de Jaltemba,la Isla del Coral semeja un acuario natural debido a su gran variedad de fauna y flora marina. En sus aguas cristalinas es común ver mantarrayas,tortugas,estrellas de mar,y peces multicolores.,
Islas Marietas,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas,son dos islas deshabitadas cercanas a la costa mexicana del Estado de Nayarit. El archipiélago,de origen volcánico,está compuesto por la isla Larga y la isla Redonda.,,,,
Manantial La Tovara,Turismo de sol y playa|Aventura|ecoturismo,La Tovara es un manantial ubicado en el municipio de San Blas Nayarit en el estado de Nayarit (México),que da origen a un estanque natural de agua dulce en medio de un estero en la base de una serranía. El área es muy extensa y está llena de canales naturales entre la jungla que desembocan a la bahía de Matanchén en el océano Pacífico. La vegetación es frondosa y llena de plantas tropicales entre las que destacan los helechos gigantes y los manglares,y una fauna diversa que incluye cocodrilos,tortugas,jaguares,ocelotes,armadillos,y una gran variedad de aves y peces.
Mercado del Pueblo Sayulita,gastronomico,Desde 2009,el Mercado del Pueblo,el mercado de agricultores de Sayulita,celebra las maravillas de la región presentando a agricultores y familias locales que producen productos consumibles naturales de alta calidad. ¡Los compradores desde Manzanillo hasta Chicago y Canadá están entusiasmados con el hecho de que este mercado es uno de los mejores mercados de alimentos naturales que han visto en cualquier lugar.,,,,
Mexcaltitan,Naturaleza,Mexcaltitán es una localidad del municipio de Santiago Ixcuintla,Nayarit (México). La localidad se asienta sobre una isla que recibe el mismo nombre. Su nombre viene del náhuatl mexcalli,mezcal,y titlán,"riqueza, abundancia.",,,
Playa Destiladeras,Turismo de sol y playa,Su nombre tiene origen en una extinta cascada de agua dulce,y en sus doradas y finas arenas se vislumbra la promesa de un futuro proyecto que contempla la construcción de hoteles de gran lujo,clubs de playa,spas de primer nivel,restaurantes y un campo de golf que seguramente consolidará a la Riviera Nayarit como un destino de ensueño para los golfistas de todo el mundo.,,,
Playa El Anclote,Turismo de sol y playa,Playa El anclote es un espectacular lugar de la Riviera Nayarit en la impresionante península de Punta de Mita a tan solo 40 minutos en coche desde Puerto Vallarta,dicha playa se reconocida por su belleza virgen y sorprendente grandeza natural. El acceso público a las playas de la península es por El anclote.,,,,,,
Playa Los Ayala,Turismo de sol y playa,an grato es el ambiente de un lugar como Playa Los Ayala que no solamente los turistas nacionales y extranjeros disfrutan a lo grande con su ambiente paradisiaco y numerosos atractivos,sino que,además,los propios lugareños,aun estando acostumbrados a la belleza costera de las playas de Nayarit,gustan de tener agradables paseos en el destino que les comentamos.,,
Splash Water Park,Aventura|diversion,Precios increíbles y sin cargos. Ahorra. La más amplia variedad. Ofertas secretas. Hablamos tu idioma. Confirmación inmediata. Lee opiniones reales. Sin cargos de gestión. Mejor precio garantizado. Precios bajos.,,,,,,,
The Jazz Foundation,cultural,Recurrimos al Jazz,al arte y la cultura como los elementos detonadores de este cambio. Somos un club de Jazz en la playa,un foro de expresiones con sentido y un restaurante bar decididamente mestizo.,,,,,
Isla Isabel,Turismo de sol y playa|ecoturismo,La Isla Isabel es una isla del océano Pacífico,perteneciente al municipio de Santiago Ixcuintla,"Nayarit. Su posición geográfica es: 21º52'30"" N y 105º54'54"" W.",,,,,
Cerro de la Contaduria,cultural|Aventura,La legendaria Contaduría,que data del año 1760 está en lo más alto del Cerro de Basilio y se construyó porque San Blas necesitaba un fuerte que protegiera al puerto de los posibles ataques por vía marítima.,,,,,,
Santuario de Cocodrilos El Cora,ecoturismo,Ubicado en el corazón del manglar en el Estero El Quelele,a un costado del Club de Golf Flamingos,se localiza el Cocodrilario Santuario de Cocodrilos El Cora,un espacio natural que se ha renovado con más experiencias y servicios para locales y visitantes en la Riviera Nayarit.,,,,