Lugar,Description,Location,Clasificacion TripAdvisor,Comentarios,Sentimiento,Promedio Clasificacion Usuarios
Bahia de Matanchen,"Un destino popular para los amantes de la historia, Bahia de Matanchen ofrece una experiencia única con su rica historia cultural.",occidente,3.6,"[""Es un lugar agradable. No cumpli\u00f3 mis expectativas."", ""Es un lugar agradable. Podr\u00eda ser mejor."", ""Es un lugar fant\u00e1stico. No cumpli\u00f3 mis expectativas."", ""Es un lugar no tan bueno. No cumpli\u00f3 mis expectativas.""]",0.0,1.1
Playa Los Muertos,"Un destino popular para los amantes de la aventura, Playa Los Muertos ofrece una experiencia única con su vibrante escena artística.",occidente,2.9,"[""Es un lugar incre\u00edble. Me encant\u00f3."", ""Es un lugar no tan bueno. Fue una experiencia \u00fanica."", ""Es un lugar no tan bueno. No cumpli\u00f3 mis expectativas."", ""Es un lugar incre\u00edble. Fue una experiencia \u00fanica."", ""Es un lugar no tan bueno. Fue una experiencia \u00fanica."", ""Es un lugar decepcionante. Podr\u00eda ser mejor.""]",0.0,5.0
Bucerias Art Walk,"Un destino popular para los amantes de el arte, Bucerias Art Walk ofrece una experiencia única con su relajante ambiente de playa.",occidente,2.2,"[""Es un lugar decepcionante. Fue una experiencia \u00fanica."", ""Es un lugar decepcionante. Me encant\u00f3."", ""Es un lugar no tan bueno. No cumpli\u00f3 mis expectativas."", ""Es un lugar no tan bueno. No cumpli\u00f3 mis expectativas."", ""Es un lugar no tan bueno. Me encant\u00f3.""]",0.0,3.5
Centro Historico de Tepic,"Un destino popular para los amantes de la historia, Centro Historico de Tepic ofrece una experiencia única con su relajante ambiente de playa.",norte,4.7,"[""Es un lugar agradable. Fue una experiencia \u00fanica."", ""Es un lugar incre\u00edble. Podr\u00eda ser mejor."", ""Es un lugar agradable. Fue una experiencia \u00fanica."", ""Es un lugar no tan bueno. No cumpli\u00f3 mis expectativas."", ""Es un lugar decepcionante. No cumpli\u00f3 mis expectativas."", ""Es un lugar fant\u00e1stico. Podr\u00eda ser mejor."", ""Es un lugar no tan bueno. Me encant\u00f3."", ""Es un lugar incre\u00edble. Me encant\u00f3.""]",0.0,4.8
Galerias Vallarta,"Un destino popular para los amantes de la playa, Galerias Vallarta ofrece una experiencia única con su hermoso paisaje.",occidente,4.6,"[""Es un lugar agradable. Super\u00f3 mis expectativas."", ""Es un lugar no tan bueno. Super\u00f3 mis expectativas."", ""Es un lugar decepcionante. Fue una experiencia \u00fanica.""]",0.0,1.7
Isla de Coral,"Un destino popular para los amantes de la historia, Isla de Coral ofrece una experiencia única con su relajante ambiente de playa.",sur,3.8,"[""Es un lugar fant\u00e1stico. Podr\u00eda ser mejor."", ""Es un lugar agradable. Super\u00f3 mis expectativas."", ""Es un lugar decepcionante. Podr\u00eda ser mejor."", ""Es un lugar incre\u00edble. Super\u00f3 mis expectativas."", ""Es un lugar no tan bueno. Podr\u00eda ser mejor."", ""Es un lugar fant\u00e1stico. Podr\u00eda ser mejor."", ""Es un lugar decepcionante. Me encant\u00f3."", ""Es un lugar agradable. Fue una experiencia \u00fanica.""]",0.0,1.0
Islas Marietas,"Un destino popular para los amantes de el arte, Islas Marietas ofrece una experiencia única con su relajante ambiente de playa.",occidente,2.0,"[""Es un lugar decepcionante. Super\u00f3 mis expectativas."", ""Es un lugar fant\u00e1stico. Fue una experiencia \u00fanica."", ""Es un lugar decepcionante. No cumpli\u00f3 mis expectativas."", ""Es un lugar no tan bueno. No cumpli\u00f3 mis expectativas."", ""Es un lugar fant\u00e1stico. No cumpli\u00f3 mis expectativas."", ""Es un lugar fant\u00e1stico. No cumpli\u00f3 mis expectativas."", ""Es un lugar fant\u00e1stico. Podr\u00eda ser mejor."", ""Es un lugar fant\u00e1stico. Me encant\u00f3."", ""Es un lugar incre\u00edble. Fue una experiencia \u00fanica."", ""Es un lugar agradable. Me encant\u00f3.""]",0.0,2.3
Manantial La Tovara,"Un destino popular para los amantes de la aventura, Manantial La Tovara ofrece una experiencia única con su emocionante aventura.",occidente,2.8,"[""Es un lugar incre\u00edble. No cumpli\u00f3 mis expectativas."", ""Es un lugar agradable. Podr\u00eda ser mejor."", ""Es un lugar agradable. Me encant\u00f3."", ""Es un lugar decepcionante. Me encant\u00f3."", ""Es un lugar agradable. Me encant\u00f3."", ""Es un lugar fant\u00e1stico. Fue una experiencia \u00fanica."", ""Es un lugar fant\u00e1stico. Me encant\u00f3."", ""Es un lugar decepcionante. Fue una experiencia \u00fanica.""]",0.0,4.9
Mercado del Pueblo Sayulita,"Un destino popular para los amantes de la historia, Mercado del Pueblo Sayulita ofrece una experiencia única con su hermoso paisaje.",sur,2.1,"[""Es un lugar fant\u00e1stico. Super\u00f3 mis expectativas."", ""Es un lugar fant\u00e1stico. Super\u00f3 mis expectativas."", ""Es un lugar incre\u00edble. Super\u00f3 mis expectativas."", ""Es un lugar fant\u00e1stico. Podr\u00eda ser mejor."", ""Es un lugar decepcionante. Podr\u00eda ser mejor."", ""Es un lugar fant\u00e1stico. Fue una experiencia \u00fanica."", ""Es un lugar agradable. Fue una experiencia \u00fanica."", ""Es un lugar no tan bueno. Podr\u00eda ser mejor.""]",0.0,1.3
Mexcaltitan,"Un destino popular para los amantes de la playa, Mexcaltitan ofrece una experiencia única con su hermoso paisaje.",norte,3.4,"[""Es un lugar decepcionante. Fue una experiencia \u00fanica."", ""Es un lugar incre\u00edble. Me encant\u00f3."", ""Es un lugar no tan bueno. Super\u00f3 mis expectativas."", ""Es un lugar decepcionante. No cumpli\u00f3 mis expectativas."", ""Es un lugar incre\u00edble. Super\u00f3 mis expectativas."", ""Es un lugar fant\u00e1stico. Me encant\u00f3."", ""Es un lugar no tan bueno. No cumpli\u00f3 mis expectativas."", ""Es un lugar decepcionante. Super\u00f3 mis expectativas.""]",0.0,3.4
Playa Destiladeras,"Un destino popular para los amantes de la aventura, Playa Destiladeras ofrece una experiencia única con su hermoso paisaje.",norte,1.3,"[""Es un lugar decepcionante. Podr\u00eda ser mejor."", ""Es un lugar decepcionante. Fue una experiencia \u00fanica."", ""Es un lugar no tan bueno. Podr\u00eda ser mejor."", ""Es un lugar fant\u00e1stico. Super\u00f3 mis expectativas."", ""Es un lugar incre\u00edble. Me encant\u00f3.""]",0.0,4.2
Playa El Anclote,"Un destino popular para los amantes de el arte, Playa El Anclote ofrece una experiencia única con su hermoso paisaje.",occidente,2.0,"[""Es un lugar fant\u00e1stico. Fue una experiencia \u00fanica."", ""Es un lugar incre\u00edble. Fue una experiencia \u00fanica."", ""Es un lugar agradable. Fue una experiencia \u00fanica."", ""Es un lugar decepcionante. Me encant\u00f3."", ""Es un lugar no tan bueno. No cumpli\u00f3 mis expectativas."", ""Es un lugar incre\u00edble. No cumpli\u00f3 mis expectativas.""]",0.0,3.0
Playa Los Ayala,"Un destino popular para los amantes de la historia, Playa Los Ayala ofrece una experiencia única con su hermoso paisaje.",sur,3.9,"[""Es un lugar decepcionante. Me encant\u00f3."", ""Es un lugar agradable. Fue una experiencia \u00fanica."", ""Es un lugar decepcionante. Podr\u00eda ser mejor."", ""Es un lugar decepcionante. Fue una experiencia \u00fanica."", ""Es un lugar incre\u00edble. Super\u00f3 mis expectativas."", ""Es un lugar no tan bueno. Podr\u00eda ser mejor."", ""Es un lugar decepcionante. No cumpli\u00f3 mis expectativas.""]",0.0,4.3
Splash Water Park,"Un destino popular para los amantes de el arte, Splash Water Park ofrece una experiencia única con su relajante ambiente de playa.",occidente,2.1,"[""Es un lugar agradable. No cumpli\u00f3 mis expectativas."", ""Es un lugar no tan bueno. Fue una experiencia \u00fanica."", ""Es un lugar fant\u00e1stico. Me encant\u00f3."", ""Es un lugar decepcionante. Super\u00f3 mis expectativas."", ""Es un lugar incre\u00edble. Podr\u00eda ser mejor."", ""Es un lugar no tan bueno. No cumpli\u00f3 mis expectativas."", ""Es un lugar no tan bueno. Fue una experiencia \u00fanica."", ""Es un lugar decepcionante. Me encant\u00f3."", ""Es un lugar incre\u00edble. Me encant\u00f3."", ""Es un lugar fant\u00e1stico. Podr\u00eda ser mejor.""]",0.0,3.3
The Jazz Foundation,"Un destino popular para los amantes de la playa, The Jazz Foundation ofrece una experiencia única con su relajante ambiente de playa.",occidente,3.3,"[""Es un lugar fant\u00e1stico. Super\u00f3 mis expectativas."", ""Es un lugar incre\u00edble. Podr\u00eda ser mejor."", ""Es un lugar fant\u00e1stico. No cumpli\u00f3 mis expectativas."", ""Es un lugar fant\u00e1stico. Super\u00f3 mis expectativas."", ""Es un lugar incre\u00edble. Me encant\u00f3.""]",0.0,2.3
Isla Isabel,"Un destino popular para los amantes de la aventura, Isla Isabel ofrece una experiencia única con su vibrante escena artística.",sur,4.0,"[""Es un lugar agradable. No cumpli\u00f3 mis expectativas."", ""Es un lugar no tan bueno. Me encant\u00f3."", ""Es un lugar fant\u00e1stico. Me encant\u00f3."", ""Es un lugar fant\u00e1stico. No cumpli\u00f3 mis expectativas."", ""Es un lugar no tan bueno. Me encant\u00f3."", ""Es un lugar incre\u00edble. Fue una experiencia \u00fanica."", ""Es un lugar agradable. Fue una experiencia \u00fanica."", ""Es un lugar no tan bueno. Fue una experiencia \u00fanica."", ""Es un lugar incre\u00edble. Podr\u00eda ser mejor."", ""Es un lugar decepcionante. Podr\u00eda ser mejor.""]",0.0,4.4
Cerro de la Contaduria,"Un destino popular para los amantes de la naturaleza, Cerro de la Contaduria ofrece una experiencia única con su vibrante escena artística.",sur,1.9,"[""Es un lugar fant\u00e1stico. No cumpli\u00f3 mis expectativas."", ""Es un lugar incre\u00edble. Me encant\u00f3."", ""Es un lugar incre\u00edble. Super\u00f3 mis expectativas."", ""Es un lugar decepcionante. Super\u00f3 mis expectativas."", ""Es un lugar no tan bueno. Me encant\u00f3."", ""Es un lugar agradable. No cumpli\u00f3 mis expectativas."", ""Es un lugar no tan bueno. Me encant\u00f3.""]",0.0,4.3
Santuario de Cocodrilos El Cora,"Un destino popular para los amantes de la playa, Santuario de Cocodrilos El Cora ofrece una experiencia única con su rica historia cultural.",sur,3.5,"[""Es un lugar incre\u00edble. No cumpli\u00f3 mis expectativas."", ""Es un lugar fant\u00e1stico. Super\u00f3 mis expectativas."", ""Es un lugar decepcionante. Super\u00f3 mis expectativas."", ""Es un lugar fant\u00e1stico. Super\u00f3 mis expectativas."", ""Es un lugar no tan bueno. Me encant\u00f3."", ""Es un lugar fant\u00e1stico. Podr\u00eda ser mejor."", ""Es un lugar no tan bueno. No cumpli\u00f3 mis expectativas."", ""Es un lugar fant\u00e1stico. Me encant\u00f3."", ""Es un lugar agradable. Me encant\u00f3.""]",0.0,3.4
